,open,high,low,close,volume,value
2024-07-15 09:00:00,730.6,757.2,730.5,754.8,237118899.54657862,176746262783.17862
2024-07-16 09:00:00,754.8,828.1,744.9,809.0,657790430.8256321,517207481622.36017
2024-07-17 09:00:00,808.9,888.3,807.5,874.8,696130278.1149905,594337042528.1848
2024-07-18 09:00:00,874.6,887.9,785.9,800.0,783286632.7751833,644807245354.2128
2024-07-19 09:00:00,800.0,819.4,757.0,800.0,500362892.8100495,392246753037.0299
2024-07-20 09:00:00,800.0,845.5,798.1,831.8,339077340.8225778,280268545124.67377
2024-07-21 09:00:00,832.0,853.0,806.0,834.0,295325550.4590803,244967333869.70377
2024-07-22 09:00:00,834.0,869.3,818.5,849.4,352367368.56623447,297745301696.84863
2024-07-23 09:00:00,849.4,860.0,817.5,836.0,239951751.96540993,201484498352.74414
2024-07-24 09:00:00,835.9,883.1,826.0,864.6,357370621.9663801,308293878019.9789
2024-07-25 09:00:00,864.6,876.5,823.5,842.1,416471324.3915878,354522524923.04474
2024-07-26 09:00:00,842.1,854.9,820.5,841.3,220699156.58319488,185366061147.73068
2024-07-27 09:00:00,841.3,848.2,820.0,828.5,159248797.23880827,133129645766.88
2024-07-28 09:00:00,829.0,856.8,821.9,839.8,146261522.19792542,122999735727.24458
2024-07-29 09:00:00,839.2,850.9,830.0,843.0,151792612.67893067,127871343658.01343
2024-07-30 09:00:00,842.6,890.3,835.6,879.5,404016178.0595485,351353781767.5835
2024-07-31 09:00:00,878.9,920.0,870.0,870.4,486853859.873236,437701502598.17474
2024-08-01 09:00:00,870.5,882.0,802.0,837.3,355334401.900434,300295387436.2311
2024-08-02 09:00:00,837.7,838.7,772.5,790.2,361564971.5181466,289509311464.06464
2024-08-03 09:00:00,790.0,814.5,763.6,786.3,249349796.71652317,197114683505.4343
2024-08-04 09:00:00,786.2,789.2,734.4,735.5,240090701.50070876,182006813842.25586
2024-08-05 09:00:00,736.0,740.5,628.0,703.8,919535540.873686,624159314936.1191
2024-08-06 09:00:00,703.8,750.1,703.1,724.0,340505666.9393964,248426343060.16946
2024-08-07 09:00:00,724.0,911.9,700.6,854.0,904833747.3571739,750263297675.2876
2024-08-08 09:00:00,854.3,900.2,821.0,862.2,807330486.6610817,693783952606.767
2024-08-09 09:00:00,862.3,876.4,798.0,817.8,450733844.72375786,375553007228.77856
2024-08-10 09:00:00,817.8,846.5,813.1,821.3,243892070.46296948,202714504460.8063
2024-08-11 09:00:00,821.3,832.5,769.6,780.0,254137305.20304713,204122808334.37802
2024-08-12 09:00:00,780.0,813.9,775.0,795.9,252057974.64646995,200917189931.5143
2024-08-13 09:00:00,796.2,812.9,788.0,804.7,190755777.35793823,152880638555.50867
2024-08-14 09:00:00,804.8,810.0,790.0,798.0,153910735.43017554,123493099153.09943
2024-08-15 09:00:00,797.9,805.0,777.1,788.3,133500808.54871865,105870284368.67915
2024-08-16 09:00:00,788.3,796.1,777.4,787.0,109201844.29097433,86012050328.20604
2024-08-17 09:00:00,787.0,794.5,783.7,788.0,49496176.15259673,38996359119.11747
2024-08-18 09:00:00,788.0,810.2,784.7,784.8,82537007.86955161,65565037091.710075
2024-08-19 09:00:00,784.9,835.0,780.2,821.0,249382067.81576324,200992407721.75146
2024-08-20 09:00:00,820.7,834.8,804.6,812.1,179548500.80658123,147713847121.48352
2024-08-21 09:00:00,812.1,821.5,802.0,814.0,130886874.27737746,106375830241.74652
2024-08-22 09:00:00,814.0,817.6,806.1,810.9,90597150.69533776,73606256762.63992
2024-08-23 09:00:00,810.9,821.4,802.4,816.0,143765239.66680446,116861739239.38261
2024-08-24 09:00:00,816.0,843.0,810.2,820.1,180886729.04413098,149295889315.65857
2024-08-25 09:00:00,820.1,821.5,800.1,805.3,143081797.90492648,115679505977.7829
2024-08-26 09:00:00,805.2,807.0,780.0,789.2,144983160.3360449,115069604268.84987
2024-08-27 09:00:00,789.2,809.4,758.0,770.5,199979215.80128375,157121212760.78812
2024-08-28 09:00:00,770.5,792.8,762.6,777.0,152046838.86278716,118168130389.72609
2024-08-29 09:00:00,777.1,783.0,760.0,764.3,101980930.96743926,78884825579.78438
2024-08-30 09:00:00,764.2,772.9,748.5,770.8,109207497.82051627,83204374750.53064
2024-08-31 09:00:00,770.9,778.2,766.0,770.0,47567999.06750076,36678687934.76491
2024-09-01 09:00:00,770.0,771.1,745.1,747.8,79918478.02431604,60575168009.998695
2024-09-02 09:00:00,748.0,772.0,743.2,769.6,86744181.15095149,65480587752.08332
2024-09-03 09:00:00,769.6,776.4,757.9,758.1,80656563.00469795,61978962658.38324
2024-09-04 09:00:00,758.3,765.6,731.5,757.2,106372051.17950948,79891682809.37576
2024-09-05 09:00:00,757.6,758.8,735.3,740.1,82629663.01475647,61703551438.99704
2024-09-06 09:00:00,740.0,741.0,690.5,711.3,187994449.50510886,135172068977.31985
2024-09-07 09:00:00,711.2,724.1,706.5,714.0,57804834.13987722,41380404363.95403
2024-09-08 09:00:00,714.0,720.7,708.3,718.0,46622774.58398594,33364477087.702404
2024-09-09 09:00:00,718.0,734.9,714.7,731.0,69714977.67168343,50412617817.25042
2024-09-10 09:00:00,731.0,734.5,723.1,732.1,61782297.443388,45010961706.428795
2024-09-11 09:00:00,732.1,733.0,710.0,721.3,82854089.38135472,59731047888.60132
2024-09-12 09:00:00,720.9,805.0,720.3,756.7,310746798.37964815,236971527609.83002
2024-09-13 09:00:00,757.0,772.1,746.5,765.5,183096203.93050036,139356283839.3911
2024-09-14 09:00:00,766.2,804.1,763.1,798.3,170163271.49891436,133670025439.46146
2024-09-15 09:00:00,798.6,798.6,767.0,769.4,121004457.31678988,95157402282.73883
2024-09-16 09:00:00,769.4,797.1,754.4,789.9,132757630.8260787,102415891306.8868
2024-09-17 09:00:00,789.9,795.7,780.1,785.1,100727815.68454926,79406821533.27783
2024-09-18 09:00:00,785.4,785.4,760.0,783.1,125349578.53638624,97132622825.08806
2024-09-19 09:00:00,783.2,792.9,777.0,782.5,140132179.11075544,109823157201.79549
2024-09-20 09:00:00,782.5,789.5,770.5,781.9,152727854.19580397,119318617144.52129
2024-09-21 09:00:00,781.8,817.0,777.0,796.4,134508213.4023782,106659439724.1398
2024-09-22 09:00:00,796.2,809.7,776.1,784.2,135615469.33182624,107717335499.14465
2024-09-23 09:00:00,784.3,794.5,775.1,781.7,93613816.92428106,73650128448.64525
